body,url,video
Промо новых рулей GT. Какие сладкие апсвипы то!,,https://i.mycdn.me/getVideoPreview?id=6073303370242&idx=0&type=39&tkn=sQljRUzH7QAib0wP4jxkENV1iVQ&fn=vid_f
Нейтан Силли раздает в Австралии,,https://i.mycdn.me/getVideoPreview?id=6296564795927&idx=0&type=39&tkn=OTrHST30oBeqtOfhSkAhOPc-Bsw&fn=vid_f
Джон Маккеллар летает на дертах во славу Cult,,https://i.mycdn.me/getVideoPreview?id=6556525136592&idx=0&type=39&tkn=hlVJ87Lc5BFKMQC9B_4yIctmtHc&fn=vid_f
"Вышло большое видео Project X, которое доступно только платно.

Там 100 минут катания от Гарретта, Феликса, Бойда и еще 11 именитых райдеров по Европе. 3 страны, 10 дней и настроение Road Fools.

Купить тут: https://digbmx.com/project-x",,https://i.mycdn.me/getVideoPreview?id=6526026779219&idx=0&type=39&tkn=n57nPPSnsDSweoZWd4v9fru-hUo&fn=vid_f
Видео с большого трипа части команды Cult,,https://i.mycdn.me/getVideoPreview?id=6168932649669&idx=0&type=39&tkn=U_Z2Y1Mz6C5EflA7OYetboN54IQ&fn=vid_f
"Мэти Ласготи и Зено Леман рванули на Малагу, чтобы показать уровень",,https://i.mycdn.me/getVideoPreview?id=6279264537146&idx=0&type=39&tkn=VFl-etQp7GSXS0CPqc9KTGvxiRM&fn=vid_f
Байкчек Симоне Баракко,,https://i.mycdn.me/getVideoPreview?id=6434404371060&idx=0&type=39&tkn=gp7x-8XX85LlQ9ndWwmHmUYDUPQ&fn=vid_f
Дэйви Осгуд с приятным стилем с улиц и парков,,https://i.mycdn.me/getVideoPreview?id=6399150328469&idx=0&type=39&tkn=S7aZCYnXbaacvHhFnukYy5-ADBM&fn=vid_f
Новый микстейп от голландских мужиков из Cluut,,https://i.mycdn.me/getVideoPreview?id=6188289952417&idx=0&type=39&tkn=UFhK5bHqLqgrVNshZm5V1rSUqZU&fn=vid_f
Ну очень сильное видео Артема Бахчеджи из Одессы. Парень раздает сильнейшие трюки и делает очень мощные комбухи,,https://i.mycdn.me/getVideoPreview?id=6320394930775&idx=0&type=39&tkn=EOTP1a9HXY2k4z0ZWh16nvZMqfA&fn=vid_f
